
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)"
="",="trend_p_t_",="trend_p_t_",="trend_p_t_",="trend_e_t_",="trend_e_t_",="trend_e_t_",="trend_lg1_ta_femenino",="trend_lg1_ta_femenino",="trend_lg1_ta_femenino",="trend_lg1_ta_masculino",="trend_lg1_ta_masculino",="trend_lg1_ta_masculino",="trend_lg1_trab_eventual",="trend_lg1_trab_eventual",="trend_lg1_trab_eventual",="trend_lg1_trab_perm",="trend_lg1_trab_perm",="trend_lg1_trab_perm",="trend_lg1_trab_campo",="trend_lg1_trab_campo",="trend_lg1_trab_campo",="trend_lg1_trab_urb",="trend_lg1_trab_urb",="trend_lg1_trab_urb",="trend_lg1_ta_sal",="trend_lg1_ta_sal",="trend_lg1_ta_sal",="trend_lg1_masa_sal_ta",="trend_lg1_masa_sal_ta",="trend_lg1_masa_sal_ta"

="median_lum3",="-0.000000025",="-4.0e-09",="0.00000058",="-0.00000039",="0.0000018",="0.0000020",="-0.00000087**",="-0.00000090",="-0.00000029",="-0.00000034",="0.0000015",="0.0000019",="-0.00000025",="0.0000026",="0.0000023",="-0.00000062**",="0.00000050",="0.00000052",="0.000000043",="0.0000021",="0.0000011",="-0.00000046",="0.00000098",="0.0000018",="-0.00000048",="0.0000010",="0.0000012",="-0.00000041",="-0.00000087",="0.0000014"
="",="(0.00000018)",="(0.0000010)",="(0.0000010)",="(0.00000035)",="(0.0000020)",="(0.0000020)",="(0.00000034)",="(0.0000020)",="(0.0000019)",="(0.00000041)",="(0.0000022)",="(0.0000022)",="(0.0000012)",="(0.0000062)",="(0.0000061)",="(0.00000027)",="(0.0000017)",="(0.0000017)",="(0.00000045)",="(0.0000021)",="(0.0000021)",="(0.00000041)",="(0.0000021)",="(0.0000021)",="(0.00000041)",="(0.0000022)",="(0.0000021)",="(0.00000064)",="(0.0000022)",="(0.0000022)"

="sexo",="-0.038***",="-0.19***",="-0.20***",="-0.12***",="-0.57***",="-0.57***",="0.068***",="0.42***",="0.39***",="-0.17***",="-0.95***",="-0.94***",="-0.42***",="-1.86***",="-1.80***",="-0.013",="0.0090",="-0.0095",="-0.028**",="-0.12***",="-0.046*",="-0.16***",="-0.61***",="-0.64***",="-0.17***",="-0.68***",="-0.68***",="-0.34***",="-0.60***",="-0.67***"
="",="(0.0094)",="(0.028)",="(0.027)",="(0.022)",="(0.072)",="(0.069)",="(0.016)",="(0.050)",="(0.047)",="(0.027)",="(0.088)",="(0.084)",="(0.045)",="(0.12)",="(0.12)",="(0.015)",="(0.044)",="(0.042)",="(0.013)",="(0.027)",="(0.027)",="(0.027)",="(0.077)",="(0.075)",="(0.026)",="(0.077)",="(0.074)",="(0.050)",="(0.12)",="(0.11)"

="salario_promedio",="0.000025",="0.00016**",="-0.000052",="-0.0000044",="0.00022",="0.00024*",="-0.000063**",="-0.00030**",="-0.00054***",="0.000026",="0.00047**",="0.00054***",="-0.000031",="-0.000088",="0.00050",="-0.000037",="-0.00010",="-0.00022**",="-0.000067",="-0.00093***",="-0.00017",="0.000027",="0.00072***",="0.00043***",="-0.000065",="-0.000078",="0.000043",="0.00014**",="0.0022***",="0.0014***"
="",="(0.000020)",="(0.000066)",="(0.000046)",="(0.000037)",="(0.00021)",="(0.00014)",="(0.000032)",="(0.00015)",="(0.00010)",="(0.000041)",="(0.00024)",="(0.00016)",="(0.000100)",="(0.00044)",="(0.00031)",="(0.000028)",="(0.00014)",="(0.000099)",="(0.000048)",="(0.00016)",="(0.00012)",="(0.000041)",="(0.00023)",="(0.00015)",="(0.000041)",="(0.00023)",="(0.00015)",="(0.000063)",="(0.00032)",="(0.00021)"

="N",="27686",="27679",="27679",="27686",="27679",="27679",="27721",="27715",="27715",="27721",="27715",="27715",="27773",="27763",="27763",="27773",="27763",="27763",="27773",="27763",="27763",="27773",="27763",="27763",="27773",="27763",="27763",="27823",="27816",="27816"
="R-sq",="0.006",="0.038",="0.035",="0.004",="0.042",="0.041",="0.003",="0.041",="0.038",="0.006",="0.060",="0.059",="0.004",="0.030",="0.029",="0.003",="0.058",="0.055",="0.002",="0.025",="0.022",="0.006",="0.063",="0.060",="0.006",="0.063",="0.061",="0.026",="0.252",="0.249"
="Fstat",="4.51",="7.04",="11.3",="2.01",="2.92",="11.7",="2.08",="4.01",="16.9",="2.04",="4.54",="21.3",="2.50",="6.91",="37.7",="2.16",="1.68",="2.29",="1.55",="2.69",="1.56",="2.07",="3.81",="13.4",="2.18",="3.60",="14.4",="4.21",="3.20",="11.3"
="pval",="0.025",="0.29",="",="0.32",="0.63",="",="0.56",="0.74",="",="0.42",="0.79",="",="0.94",="0.90",="",="0.56",="0.83",="",="0.54",="0.40",="",="0.47",="0.46",="",="0.55",="0.54",="",="0.000025",="0.21",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
