
="",="(0.0014)",="(0.011)",="(0.010)",="(0.0033)",="(.)",="(0.021)",="(0.0040)",="(0.027)",="(0.026)",="(0.0035)",="(0.023)",="(0.022)",="(0.0075)",="(.)",="(0.062)",="(0.0033)",="(0.019)",="(0.018)",="(0.0050)",="(.)",="(0.031)",="(0.0039)",="(0.026)",="(0.024)",="(0.0038)",="(0.025)",="(0.023)",="(0.0050)",="(0.025)",="(0.022)"

="median_lum2",="-0.0000093",="0.00089",="0.0010",="0.00086***",="0.00050",="0.00037",="0.0012***",="0.00053",="-0.00010",="0.00076***",="0.00100",="0.00081",="0.0017***",="0.0031",="0.0031",="0.00075***",="0.00053",="0.00013",="0.000027",="-0.0017",="-0.0013",="0.00093***",="0.00053",="0.000046",="0.00094***",="-0.000056",="-0.00037",="0.00076***",="-0.0028**",="-0.0026**"
="",="(0.000075)",="(0.00064)",="(0.00063)",="(0.00015)",="(.)",="(0.0011)",="(0.00020)",="(0.0012)",="(0.0012)",="(0.00017)",="(0.0012)",="(0.0011)",="(0.00039)",="(.)",="(0.0031)",="(0.00017)",="(0.0011)",="(0.0011)",="(0.00024)",="(.)",="(0.0015)",="(0.00018)",="(0.0012)",="(0.0011)",="(0.00018)",="(0.0012)",="(0.0011)",="(0.00024)",="(0.0013)",="(0.0012)"

="median_lum3",="-0.00000016",="-0.0000076",="-0.000014*",="-0.000011***",="-0.00000068",="-0.00000055",="-0.000015***",="0.00000091",="0.0000030",="-0.0000097***",="-0.0000049",="-0.0000033",="-0.000021***",="-0.000045",="-0.000043",="-0.0000090***",="0.0000018",="0.0000036",="-0.00000037",="0.000020",="0.000033*",="-0.000011***",="0.00000071",="0.0000027",="-0.000011***",="0.0000089",="0.000011",="-0.0000063**",="0.000043***",="0.000040***"
="",="(0.00000097)",="(0.0000078)",="(0.0000078)",="(0.0000019)",="(.)",="(0.000013)",="(0.0000025)",="(0.000015)",="(0.000014)",="(0.0000021)",="(0.000014)",="(0.000013)",="(0.0000049)",="(.)",="(0.000038)",="(0.0000021)",="(0.000013)",="(0.000013)",="(0.0000029)",="(.)",="(0.000018)",="(0.0000022)",="(0.000014)",="(0.000013)",="(0.0000022)",="(0.000014)",="(0.000014)",="(0.0000029)",="(0.000015)",="(0.000014)"

="sexo",="0.035",="-0.37***",="-0.41***",="-0.21**",="-1.08",="-1.10***",="0.40***",="1.61***",="1.52***",="-0.39***",="-2.04***",="-2.05***",="-1.06***",="-4.14",="-4.15***",="0.075",="0.39*",="0.30",="-0.19***",="-0.20",="-0.022",="-0.36***",="-0.76***",="-0.87***",="-0.42***",="-0.88***",="-0.95***",="-0.62***",="-0.71***",="-0.75***"
="",="(0.044)",="(0.10)",="(0.11)",="(0.10)",="(.)",="(0.26)",="(0.10)",="(0.28)",="(0.28)",="(0.11)",="(0.27)",="(0.28)",="(0.15)",="(.)",="(0.48)",="(0.095)",="(0.21)",="(0.22)",="(0.068)",="(.)",="(0.12)",="(0.11)",="(0.26)",="(0.27)",="(0.11)",="(0.27)",="(0.27)",="(0.20)",="(0.18)",="(0.18)"

="salario_promedio",="0.00022**",="0.00037**",="0.00020",="0.00097***",="0.00099",="0.00089",="0.00042**",="-0.00034",="-0.00071",="0.0010***",="0.0010",="0.00084",="0.0012***",="0.00093",="0.00097",="0.00035**",="-0.00047",="-0.00073",="0.00012",="-0.0014",="-0.00084**",="0.00072***",="0.0014*",="0.0010",="0.00058***",="0.00031",="0.000077",="0.00095***",="0.0047***",="0.0045***"
="",="(0.000087)",="(0.00018)",="(0.00018)",="(0.00018)",="(.)",="(0.00061)",="(0.00018)",="(0.00080)",="(0.00087)",="(0.00019)",="(0.00076)",="(0.00077)",="(0.00034)",="(.)",="(0.0012)",="(0.00016)",="(0.00072)",="(0.00079)",="(0.00019)",="(.)",="(0.00037)",="(0.00019)",="(0.00083)",="(0.00085)",="(0.00018)",="(0.00078)",="(0.00082)",="(0.00025)",="(0.00068)",="(0.00072)"

="N",="5752",="5744",="5744",="5752",="5744",="5744",="5773",="5765",="5765",="5773",="5765",="5765",="5893",="5882",="5882",="5893",="5882",="5882",="5893",="5882",="5882",="5893",="5882",="5882",="5893",="5882",="5882",="5906",="5895",="5895"
="R-sq",="0.066",="0.835",="0.829",="0.061",="0.854",="0.852",="0.056",="0.858",="0.853",="0.054",="0.814",="0.810",="0.035",="0.692",="0.689",="0.058",="0.869",="0.865",="0.032",="0.817",="0.809",="0.053",="0.832",="0.827",="0.055",="0.825",="0.820",="0.093",="0.860",="0.857"
="Fstat",="14.1",="10.1",="7.24",="11.4",="3.26",="6.57",="8.22",="4.25",="8.70",="9.77",="4.12",="11.5",="5.98",="4.06",="13.4",="10.9",="3.90",="4.57",="5.50",="5.04",="6.00",="8.74",="3.41",="4.85",="9.26",="2.83",="4.90",="10.0",="4.64",="15.7"
="pval",="1.0e-28",="0.79",="",="0.00000015",=".",="",="0.0000014",="0.70",="",="0.000000047",="0.95",="",="0.000000046",=".",="",="0.0000073",="0.11",="",="0.00000031",=".",="",="0.00000018",="0.71",="",="0.00000091",="0.74",="",="6.1e-09",="0.37",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
